model_dir,cell_id,alpha_bucket,dispersion_bucket,skew_bucket,total,correct,accuracy_pct
DeepSeek-R1-671B,alpha_high__disp_high__skew_high,high,high,high,56,8,14.285714285714286
DeepSeek-R1-671B,alpha_high__disp_high__skew_low,high,high,low,56,12,21.428571428571427
DeepSeek-R1-671B,alpha_high__disp_high__skew_mid,high,high,mid,56,9,16.071428571428573
DeepSeek-R1-671B,alpha_high__disp_low__skew_high,high,low,high,56,10,17.857142857142858
DeepSeek-R1-671B,alpha_high__disp_low__skew_low,high,low,low,56,9,16.071428571428573
DeepSeek-R1-671B,alpha_high__disp_low__skew_mid,high,low,mid,56,6,10.714285714285714
DeepSeek-R1-671B,alpha_high__disp_mid__skew_high,high,mid,high,56,12,21.428571428571427
DeepSeek-R1-671B,alpha_high__disp_mid__skew_low,high,mid,low,56,16,28.571428571428573
DeepSeek-R1-671B,alpha_high__disp_mid__skew_mid,high,mid,mid,56,15,26.785714285714285
DeepSeek-R1-671B,alpha_low__disp_high__skew_high,low,high,high,56,11,19.642857142857142
DeepSeek-R1-671B,alpha_low__disp_high__skew_low,low,high,low,56,20,35.714285714285715
DeepSeek-R1-671B,alpha_low__disp_high__skew_mid,low,high,mid,56,13,23.214285714285715
DeepSeek-R1-671B,alpha_low__disp_low__skew_high,low,low,high,56,12,21.428571428571427
DeepSeek-R1-671B,alpha_low__disp_low__skew_low,low,low,low,56,22,39.285714285714285
DeepSeek-R1-671B,alpha_low__disp_low__skew_mid,low,low,mid,56,15,26.785714285714285
DeepSeek-R1-671B,alpha_low__disp_mid__skew_high,low,mid,high,56,14,25.0
DeepSeek-R1-671B,alpha_low__disp_mid__skew_low,low,mid,low,56,20,35.714285714285715
DeepSeek-R1-671B,alpha_low__disp_mid__skew_mid,low,mid,mid,56,12,21.428571428571427
DeepSeek-R1-671B,alpha_mid__disp_high__skew_high,mid,high,high,56,10,17.857142857142858
DeepSeek-R1-671B,alpha_mid__disp_high__skew_low,mid,high,low,56,15,26.785714285714285
DeepSeek-R1-671B,alpha_mid__disp_high__skew_mid,mid,high,mid,56,15,26.785714285714285
DeepSeek-R1-671B,alpha_mid__disp_low__skew_high,mid,low,high,56,9,16.071428571428573
DeepSeek-R1-671B,alpha_mid__disp_low__skew_low,mid,low,low,56,19,33.92857142857143
DeepSeek-R1-671B,alpha_mid__disp_low__skew_mid,mid,low,mid,56,17,30.357142857142858
DeepSeek-R1-671B,alpha_mid__disp_mid__skew_high,mid,mid,high,56,11,19.642857142857142
DeepSeek-R1-671B,alpha_mid__disp_mid__skew_low,mid,mid,low,56,8,14.285714285714286
DeepSeek-R1-671B,alpha_mid__disp_mid__skew_mid,mid,mid,mid,56,14,25.0
Qwen,alpha_high__disp_high__skew_high,high,high,high,56,17,30.357142857142858
Qwen,alpha_high__disp_high__skew_low,high,high,low,56,14,25.0
Qwen,alpha_high__disp_high__skew_mid,high,high,mid,56,12,21.428571428571427
Qwen,alpha_high__disp_low__skew_high,high,low,high,56,18,32.142857142857146
Qwen,alpha_high__disp_low__skew_low,high,low,low,56,14,25.0
Qwen,alpha_high__disp_low__skew_mid,high,low,mid,56,14,25.0
Qwen,alpha_high__disp_mid__skew_high,high,mid,high,56,15,26.785714285714285
Qwen,alpha_high__disp_mid__skew_low,high,mid,low,56,15,26.785714285714285
Qwen,alpha_high__disp_mid__skew_mid,high,mid,mid,56,22,39.285714285714285
Qwen,alpha_low__disp_high__skew_high,low,high,high,56,21,37.5
Qwen,alpha_low__disp_high__skew_low,low,high,low,56,27,48.214285714285715
Qwen,alpha_low__disp_high__skew_mid,low,high,mid,56,15,26.785714285714285
Qwen,alpha_low__disp_low__skew_high,low,low,high,56,10,17.857142857142858
Qwen,alpha_low__disp_low__skew_low,low,low,low,56,36,64.28571428571429
Qwen,alpha_low__disp_low__skew_mid,low,low,mid,56,20,35.714285714285715
Qwen,alpha_low__disp_mid__skew_high,low,mid,high,56,24,42.857142857142854
Qwen,alpha_low__disp_mid__skew_low,low,mid,low,56,33,58.92857142857143
Qwen,alpha_low__disp_mid__skew_mid,low,mid,mid,56,19,33.92857142857143
Qwen,alpha_mid__disp_high__skew_high,mid,high,high,56,17,30.357142857142858
Qwen,alpha_mid__disp_high__skew_low,mid,high,low,56,15,26.785714285714285
Qwen,alpha_mid__disp_high__skew_mid,mid,high,mid,56,13,23.214285714285715
Qwen,alpha_mid__disp_low__skew_high,mid,low,high,56,17,30.357142857142858
Qwen,alpha_mid__disp_low__skew_low,mid,low,low,56,22,39.285714285714285
Qwen,alpha_mid__disp_low__skew_mid,mid,low,mid,56,19,33.92857142857143
Qwen,alpha_mid__disp_mid__skew_high,mid,mid,high,56,22,39.285714285714285
Qwen,alpha_mid__disp_mid__skew_low,mid,mid,low,56,13,23.214285714285715
Qwen,alpha_mid__disp_mid__skew_mid,mid,mid,mid,56,28,50.0
gpt4,alpha_high__disp_high__skew_high,high,high,high,56,26,46.42857142857143
gpt4,alpha_high__disp_high__skew_low,high,high,low,56,22,39.285714285714285
gpt4,alpha_high__disp_high__skew_mid,high,high,mid,56,18,32.142857142857146
gpt4,alpha_high__disp_low__skew_high,high,low,high,56,32,57.142857142857146
