model_dir,alpha_bucket,total,correct,accuracy_pct
DeepSeek-R1-671B,low,504,139,27.57936507936508
DeepSeek-R1-671B,mid,504,118,23.41269841269841
DeepSeek-R1-671B,high,504,97,19.246031746031747
Qwen,low,504,205,40.67460317460318
Qwen,mid,504,166,32.93650793650794
Qwen,high,504,141,27.976190476190474
gpt4,low,504,322,63.888888888888886
gpt4,mid,504,249,49.404761904761905
gpt4,high,504,209,41.46825396825397
ollama-llama3-1-latest,low,504,229,45.43650793650794
ollama-llama3-1-latest,mid,504,205,40.67460317460318
ollama-llama3-1-latest,high,504,197,39.08730158730159
ollama-llama3-8b,low,504,231,45.833333333333336
ollama-llama3-8b,mid,504,188,37.301587301587304
ollama-llama3-8b,high,504,191,37.8968253968254
ollama-qwen2-7b,low,504,272,53.96825396825397
ollama-qwen2-7b,mid,504,220,43.65079365079365
ollama-qwen2-7b,high,504,213,42.26190476190476
