model_dir,alpha_bucket,dispersion_bucket,total,correct,accuracy_pct
DeepSeek-R1-671B,low,low,168,49,29.166666666666668
DeepSeek-R1-671B,low,mid,168,46,27.38095238095238
DeepSeek-R1-671B,low,high,168,44,26.19047619047619
DeepSeek-R1-671B,mid,low,168,45,26.785714285714285
DeepSeek-R1-671B,mid,mid,168,33,19.642857142857142
DeepSeek-R1-671B,mid,high,168,40,23.80952380952381
DeepSeek-R1-671B,high,low,168,25,14.880952380952381
DeepSeek-R1-671B,high,mid,168,43,25.595238095238095
DeepSeek-R1-671B,high,high,168,29,17.261904761904763
Qwen,low,low,168,66,39.285714285714285
Qwen,low,mid,168,76,45.23809523809524
Qwen,low,high,168,63,37.5
Qwen,mid,low,168,58,34.523809523809526
Qwen,mid,mid,168,63,37.5
Qwen,mid,high,168,45,26.785714285714285
Qwen,high,low,168,46,27.38095238095238
Qwen,high,mid,168,52,30.952380952380953
Qwen,high,high,168,43,25.595238095238095
gpt4,low,low,168,102,60.714285714285715
gpt4,low,mid,168,106,63.095238095238095
gpt4,low,high,168,114,67.85714285714286
gpt4,mid,low,168,89,52.976190476190474
gpt4,mid,mid,168,78,46.42857142857143
gpt4,mid,high,168,82,48.80952380952381
gpt4,high,low,168,73,43.45238095238095
gpt4,high,mid,168,70,41.666666666666664
gpt4,high,high,168,66,39.285714285714285
ollama-llama3-1-latest,low,low,168,75,44.642857142857146
ollama-llama3-1-latest,low,mid,168,79,47.023809523809526
ollama-llama3-1-latest,low,high,168,75,44.642857142857146
ollama-llama3-1-latest,mid,low,168,66,39.285714285714285
ollama-llama3-1-latest,mid,mid,168,66,39.285714285714285
ollama-llama3-1-latest,mid,high,168,73,43.45238095238095
ollama-llama3-1-latest,high,low,168,65,38.69047619047619
ollama-llama3-1-latest,high,mid,168,67,39.88095238095238
ollama-llama3-1-latest,high,high,168,65,38.69047619047619
ollama-llama3-8b,low,low,168,79,47.023809523809526
ollama-llama3-8b,low,mid,168,76,45.23809523809524
ollama-llama3-8b,low,high,168,76,45.23809523809524
ollama-llama3-8b,mid,low,168,61,36.30952380952381
ollama-llama3-8b,mid,mid,168,64,38.095238095238095
ollama-llama3-8b,mid,high,168,63,37.5
ollama-llama3-8b,high,low,168,54,32.142857142857146
ollama-llama3-8b,high,mid,168,67,39.88095238095238
ollama-llama3-8b,high,high,168,70,41.666666666666664
ollama-qwen2-7b,low,low,168,92,54.76190476190476
ollama-qwen2-7b,low,mid,168,82,48.80952380952381
ollama-qwen2-7b,low,high,168,98,58.333333333333336
ollama-qwen2-7b,mid,low,168,75,44.642857142857146
ollama-qwen2-7b,mid,mid,168,75,44.642857142857146
ollama-qwen2-7b,mid,high,168,70,41.666666666666664
ollama-qwen2-7b,high,low,168,68,40.476190476190474
ollama-qwen2-7b,high,mid,168,69,41.07142857142857
ollama-qwen2-7b,high,high,168,76,45.23809523809524
