model_dir,alpha_bucket,skew_bucket,total,correct,accuracy_pct
DeepSeek-R1-671B,low,low,168,62,36.904761904761905
DeepSeek-R1-671B,low,mid,168,40,23.80952380952381
DeepSeek-R1-671B,low,high,168,37,22.023809523809526
DeepSeek-R1-671B,mid,low,168,42,25.0
DeepSeek-R1-671B,mid,mid,168,46,27.38095238095238
DeepSeek-R1-671B,mid,high,168,30,17.857142857142858
DeepSeek-R1-671B,high,low,168,37,22.023809523809526
DeepSeek-R1-671B,high,mid,168,30,17.857142857142858
DeepSeek-R1-671B,high,high,168,30,17.857142857142858
Qwen,low,low,168,96,57.142857142857146
Qwen,low,mid,168,54,32.142857142857146
Qwen,low,high,168,55,32.73809523809524
Qwen,mid,low,168,50,29.761904761904763
Qwen,mid,mid,168,60,35.714285714285715
Qwen,mid,high,168,56,33.333333333333336
Qwen,high,low,168,43,25.595238095238095
Qwen,high,mid,168,48,28.571428571428573
Qwen,high,high,168,50,29.761904761904763
gpt4,low,low,168,110,65.47619047619048
gpt4,low,mid,168,105,62.5
gpt4,low,high,168,107,63.69047619047619
gpt4,mid,low,168,57,33.92857142857143
gpt4,mid,mid,168,96,57.142857142857146
gpt4,mid,high,168,96,57.142857142857146
gpt4,high,low,168,56,33.333333333333336
gpt4,high,mid,168,71,42.26190476190476
gpt4,high,high,168,82,48.80952380952381
ollama-llama3-1-latest,low,low,168,70,41.666666666666664
ollama-llama3-1-latest,low,mid,168,83,49.404761904761905
ollama-llama3-1-latest,low,high,168,76,45.23809523809524
ollama-llama3-1-latest,mid,low,168,54,32.142857142857146
ollama-llama3-1-latest,mid,mid,168,69,41.07142857142857
ollama-llama3-1-latest,mid,high,168,82,48.80952380952381
ollama-llama3-1-latest,high,low,168,62,36.904761904761905
ollama-llama3-1-latest,high,mid,168,61,36.30952380952381
ollama-llama3-1-latest,high,high,168,74,44.04761904761905
ollama-llama3-8b,low,low,168,63,37.5
ollama-llama3-8b,low,mid,168,83,49.404761904761905
ollama-llama3-8b,low,high,168,85,50.595238095238095
ollama-llama3-8b,mid,low,168,44,26.19047619047619
ollama-llama3-8b,mid,mid,168,63,37.5
ollama-llama3-8b,mid,high,168,81,48.214285714285715
ollama-llama3-8b,high,low,168,45,26.785714285714285
ollama-llama3-8b,high,mid,168,67,39.88095238095238
ollama-llama3-8b,high,high,168,79,47.023809523809526
ollama-qwen2-7b,low,low,168,88,52.38095238095238
ollama-qwen2-7b,low,mid,168,87,51.785714285714285
ollama-qwen2-7b,low,high,168,97,57.73809523809524
ollama-qwen2-7b,mid,low,168,59,35.11904761904762
ollama-qwen2-7b,mid,mid,168,81,48.214285714285715
ollama-qwen2-7b,mid,high,168,80,47.61904761904762
ollama-qwen2-7b,high,low,168,60,35.714285714285715
ollama-qwen2-7b,high,mid,168,68,40.476190476190474
ollama-qwen2-7b,high,high,168,85,50.595238095238095
