model_dir,skew_bucket,total,correct,accuracy_pct
DeepSeek-R1-671B,low,504,141,27.976190476190474
DeepSeek-R1-671B,mid,504,116,23.015873015873016
DeepSeek-R1-671B,high,504,97,19.246031746031747
Qwen,low,504,189,37.5
Qwen,mid,504,162,32.142857142857146
Qwen,high,504,161,31.944444444444443
gpt4,low,504,223,44.24603174603175
gpt4,mid,504,272,53.96825396825397
gpt4,high,504,285,56.54761904761905
ollama-llama3-1-latest,low,504,186,36.904761904761905
ollama-llama3-1-latest,mid,504,213,42.26190476190476
ollama-llama3-1-latest,high,504,232,46.03174603174603
ollama-llama3-8b,low,504,152,30.158730158730158
ollama-llama3-8b,mid,504,213,42.26190476190476
ollama-llama3-8b,high,504,245,48.611111111111114
ollama-qwen2-7b,low,504,207,41.07142857142857
ollama-qwen2-7b,mid,504,236,46.82539682539682
ollama-qwen2-7b,high,504,262,51.98412698412698
