cell_id,alpha_bucket,dispersion_bucket,skew_bucket,mean_acc,std_acc,min_acc,max_acc,spread
alpha_high__disp_high__skew_high,high,high,high,45.833333333333336,7.377111135633172,32.142857142857146,53.57142857142857,21.428571428571423
alpha_high__disp_high__skew_low,high,high,low,37.5,4.791574237499548,28.571428571428573,42.857142857142854,14.285714285714281
alpha_high__disp_high__skew_mid,high,high,mid,33.035714285714285,9.364364715804923,19.642857142857142,46.42857142857143,26.78571428571429
alpha_high__disp_low__skew_high,high,low,high,49.10714285714286,6.055651770647561,39.285714285714285,57.142857142857146,17.85714285714286
alpha_high__disp_low__skew_low,high,low,low,28.57142857142857,8.375742428256125,19.642857142857142,41.07142857142857,21.428571428571427
alpha_high__disp_low__skew_mid,high,low,mid,41.36904761904762,4.976560706209162,33.92857142857143,46.42857142857143,12.5
alpha_high__disp_mid__skew_high,high,mid,high,46.13095238095238,5.103103630798289,39.285714285714285,51.785714285714285,12.5
alpha_high__disp_mid__skew_low,high,mid,low,33.333333333333336,3.511400286607766,28.571428571428573,39.285714285714285,10.714285714285712
alpha_high__disp_mid__skew_mid,high,mid,mid,41.07142857142857,4.225771273642582,35.714285714285715,48.214285714285715,12.5
alpha_low__disp_high__skew_high,low,high,high,54.464285714285715,9.764445081780226,37.5,66.07142857142857,28.57142857142857
alpha_low__disp_high__skew_low,low,high,low,52.083333333333336,15.12771592526929,30.357142857142858,73.21428571428571,42.85714285714285
alpha_low__disp_high__skew_mid,low,high,mid,63.392857142857146,9.364364715804928,55.357142857142854,80.35714285714286,25.000000000000007
alpha_low__disp_low__skew_high,low,low,high,52.083333333333336,7.1799631439373925,42.857142857142854,62.5,19.642857142857146
alpha_low__disp_low__skew_low,low,low,low,61.01190476190476,13.988728455779103,44.642857142857146,76.78571428571429,32.142857142857146
alpha_low__disp_low__skew_mid,low,low,mid,52.38095238095238,10.574484757715453,42.857142857142854,71.42857142857143,28.571428571428577
alpha_low__disp_mid__skew_high,low,mid,high,56.547619047619044,6.931393632385543,48.214285714285715,67.85714285714286,19.642857142857146
alpha_low__disp_mid__skew_low,low,mid,low,54.464285714285715,15.760888688297305,37.5,73.21428571428571,35.71428571428571
alpha_low__disp_mid__skew_mid,low,mid,mid,50.595238095238095,2.6884737596752863,46.42857142857143,53.57142857142857,7.142857142857139
alpha_mid__disp_high__skew_high,mid,high,high,55.952380952380956,7.878758146559189,48.214285714285715,64.28571428571429,16.071428571428577
alpha_mid__disp_high__skew_low,mid,high,low,31.547619047619047,5.257000515671336,23.214285714285715,39.285714285714285,16.07142857142857
alpha_mid__disp_high__skew_mid,mid,high,mid,45.23809523809524,9.627412675788444,26.785714285714285,51.785714285714285,25.0
alpha_mid__disp_low__skew_high,mid,low,high,51.48809523809524,7.09058252502696,39.285714285714285,60.714285714285715,21.42857142857143
alpha_mid__disp_low__skew_low,mid,low,low,26.78571428571429,8.89278542713481,12.5,35.714285714285715,23.214285714285715
alpha_mid__disp_low__skew_mid,mid,low,mid,51.48809523809524,9.34163564171634,41.07142857142857,62.5,21.42857142857143
alpha_mid__disp_mid__skew_high,mid,mid,high,44.047619047619044,1.844277783908297,42.857142857142854,46.42857142857143,3.5714285714285765
alpha_mid__disp_mid__skew_low,mid,mid,low,36.01190476190476,6.330266891021625,25.0,42.857142857142854,17.857142857142854
alpha_mid__disp_mid__skew_mid,mid,mid,mid,46.72619047619048,8.99380928428977,33.92857142857143,57.142857142857146,23.214285714285715
