dataset_split,tier,mean_accuracy_across_models_in_tier
eval_A,large_gpt4_qwen_deepseek,0.3628733333333334
eval_A,small_llama_qwen_ollama,0.4290133333333333
eval_B,large_gpt4_qwen_deepseek,0.6404766666666667
eval_B,small_llama_qwen_ollama,0.5880966666666666
ood_career,large_gpt4_qwen_deepseek,0.4843733333333333
ood_career,small_llama_qwen_ollama,0.49884
ood_social,large_gpt4_qwen_deepseek,0.6412
ood_social,small_llama_qwen_ollama,0.6030066666666666
placebo_test,large_gpt4_qwen_deepseek,0.6190466666666666
placebo_test,small_llama_qwen_ollama,0.8207666666666666
